Date,Open,High,Low,Close,Volume
31-05-2022,196.179993,199.949997,190.800003,197.440002,11398500
01-06-2022,198.699997,202.740005,191.660004,192.910004,8416200
02-06-2022,192.020004,205.470001,191.720001,205.089996,9623100
03-06-2022,200.139999,202.949997,198.050003,198.979996,7191800
06-06-2022,202.089996,203.869995,195.380005,197.139999,5372000
07-06-2022,194.869995,199.600006,193,198.610001,4839500
08-06-2022,197.949997,207.380005,197.639999,202.830002,7244100
09-06-2022,200.649994,201.690002,192.539993,192.770004,6949000
10-06-2022,182.639999,185.860001,180.850006,182.940002,13065600
13-06-2022,177.070007,179.089996,168.960007,169.690002,10222400
14-06-2022,169.75,172.059998,164.279999,167.539993,11555300
15-06-2022,169.259995,183.850006,168.529999,180.110001,12396000
16-06-2022,174,176.270004,171.559998,173.350006,8201300
17-06-2022,173.630005,179.649994,173.339996,175.509995,12133400
21-06-2022,177.600006,178.619995,169.800003,170.910004,12177600
22-06-2022,170.75,182.820007,170.199997,178.889999,11992400
23-06-2022,180.5,182.759995,175.869995,181.710007,9538200
24-06-2022,183.5,191.190002,181.839996,190.850006,12424000
27-06-2022,191.770004,191.779999,182.389999,189.139999,8363900
28-06-2022,189.199997,192.199997,179.369995,179.600006,7185400
29-06-2022,179.550003,180.669998,175.100006,178.360001,5766800
30-06-2022,177.070007,179.449997,170.300003,174.869995,7894700
01-07-2022,176.490005,180.100006,174.270004,179.949997,5201600
05-07-2022,176.279999,185.919998,172.679993,185.880005,7334300
06-07-2022,185.199997,186.220001,180.820007,184.059998,5753400
07-07-2022,184.270004,190.210007,183.5,189.270004,6334500
08-07-2022,186.020004,189.910004,182.75,186.979996,5835700
11-07-2022,184.729996,184.990005,176.889999,177.339996,6038800
12-07-2022,177.330002,179.779999,173.419998,174.449997,6845300
13-07-2022,170.5,179.179993,169.699997,176.559998,12734400
14-07-2022,175.559998,177.520004,171.820007,174.779999,9039500
15-07-2022,175.580002,189.220001,174.559998,189.110001,16319100
18-07-2022,192.5,199.669998,189.800003,190.919998,16322800
19-07-2022,193.020004,201.970001,188.399994,201.630005,28178700
20-07-2022,208.169998,216.970001,200.100006,216.440002,53920300
21-07-2022,214.300003,224.320007,211.5,223.880005,23430100
22-07-2022,222.380005,229.350006,218.440002,220.440002,17805500
25-07-2022,221.309998,225.229996,216.350006,218.509995,10935200
26-07-2022,216.660004,219.389999,211.639999,213.910004,9508500
27-07-2022,216.479996,227.779999,214.580002,226.75,10508400
28-07-2022,224.600006,228.100006,219.669998,226.020004,8972700
29-07-2022,223.289993,230.75,222.399994,224.899994,9064900
01-08-2022,223.100006,228.389999,221,226.210007,5525000
02-08-2022,222.759995,228.199997,220.880005,221.419998,6361300
03-08-2022,224.789993,228.100006,222.419998,226.729996,6400700
04-08-2022,227.679993,232.070007,225.050003,229.910004,7142700
05-08-2022,225.300003,228.619995,222.869995,226.779999,5539700
08-08-2022,227.490005,241.960007,226.410004,233.490005,10982100
09-08-2022,231.619995,232.199997,224.649994,229.940002,6181200
10-08-2022,236.990005,244.539993,236.600006,244.110001,9254800
11-08-2022,244.679993,251.619995,241.509995,242.699997,8780100
12-08-2022,244.809998,249.410004,243.759995,249.300003,6098500
15-08-2022,248.110001,251.990005,247.509995,249.110001,6527400
16-08-2022,247.160004,249.289993,244.029999,245.690002,5136800
17-08-2022,241.179993,244.240005,237.559998,241.149994,5627200
18-08-2022,241.960007,246.479996,239.279999,245.169998,5280400
19-08-2022,240.949997,243.289993,235.679993,241.160004,7504700
22-08-2022,232.550003,233.479996,224.589996,226.539993,8630100
23-08-2022,226.460007,229.899994,224.300003,224.550003,5276900
24-08-2022,225.660004,234.100006,223.940002,229.610001,5426300
25-08-2022,230.240005,234.160004,229,233.979996,3766900
26-08-2022,233.630005,236.949997,223.149994,223.279999,5349800
29-08-2022,221.929993,229.869995,221.520004,224.570007,7109400
30-08-2022,226.660004,229.789993,218.740005,220.649994,5740400
31-08-2022,227,233.880005,223.429993,223.559998,8615900
01-09-2022,220.720001,230.369995,219.470001,230.039993,7292900
02-09-2022,231.029999,233.880005,225.039993,226.110001,8164900
06-09-2022,225.589996,226.850006,214.690002,218.389999,7469000
07-09-2022,220.210007,229.330002,218.270004,228.960007,8149300
08-09-2022,224.160004,228.740005,221.300003,227.440002,6737400
09-09-2022,229.619995,234.779999,229.619995,233.570007,6699600
12-09-2022,233.610001,239.490005,233.369995,236.529999,6047400
13-09-2022,226.5,227.690002,217.720001,218.130005,8000100
14-09-2022,219.820007,228,215.800003,224.119995,8230300
15-09-2022,230.470001,242.289993,229.100006,235.380005,19454100
16-09-2022,231.220001,241.360001,227.830002,240.130005,18914200
19-09-2022,245.050003,245.25,235.75,243.630005,17912400
20-09-2022,240.369995,250.490005,239.660004,242.850006,16037400
21-09-2022,242.669998,248.300003,236.679993,236.869995,9166800
22-09-2022,235.350006,240.5,231.660004,237.050003,10018000
23-09-2022,235.139999,236.449997,221.429993,226.410004,11207200
26-09-2022,225.600006,232.699997,223.009995,224.070007,8234300
27-09-2022,228.630005,230.639999,220.720001,224.360001,7762200
28-09-2022,229.690002,246.649994,227.380005,245.199997,17579700
29-09-2022,241.610001,246.979996,235.679993,239.710007,18994900
30-09-2022,237,242.440002,233.259995,235.440002,11848600
03-10-2022,237.850006,241.539993,232.850006,239.039993,8657400
04-10-2022,244.839996,245.800003,233.25,240.740005,13925900
05-10-2022,238.759995,241.589996,227.380005,236.729996,10825600
06-10-2022,236.679993,244.279999,233.910004,240.020004,9188900
07-10-2022,235.770004,237.330002,224.279999,224.75,9806100
10-10-2022,225.639999,233.830002,224.229996,229.979996,9991100
11-10-2022,226.050003,230.440002,213.699997,214.289993,15282400
12-10-2022,214.300003,223.669998,212.639999,220.869995,12952600
13-10-2022,212.690002,234.470001,211.729996,232.509995,17505000
14-10-2022,237.800003,238.800003,229.509995,230,15293400
17-10-2022,234.410004,249.919998,234.399994,245.100006,21057800
18-10-2022,249.800003,250.369995,237.729996,240.860001,25776700
19-10-2022,265,279.299988,262.660004,272.380005,46685300
20-10-2022,272.779999,278.380005,266.380005,268.160004,17207100
21-10-2022,268.950012,290.75,265.679993,289.570007,24889100
24-10-2022,290.230011,290.48999,280.359985,282.450012,13326400
25-10-2022,286.950012,297.589996,285.549988,291.019989,15100700
26-10-2022,290.040009,305.630005,288.040009,298.619995,15714100
27-10-2022,298.329987,305.209991,294.779999,296.940002,14612600
28-10-2022,297.700012,301.190002,292.290009,295.720001,9960500
31-10-2022,295.130005,297.619995,289.5,291.880005,7505100
01-11-2022,296.170013,299.700012,286.420013,286.75,6916400
02-11-2022,286.399994,287.329987,272.839996,273,10367600
03-11-2022,271.25,276.290009,268.799988,269.059998,7057400
04-11-2022,272.019989,274.970001,255.320007,260.790009,11124700
07-11-2022,261.059998,261.149994,252.089996,258.600006,7927000
08-11-2022,259.920013,266.079987,256.880005,263.459991,7683800
