Date,Open,High,Low,Close,Volume,,,,,,
16-05-2000,320,321.9,315,317.4,3133472,,,,,,
17-05-2000,320.9,328.4,316.25,318.85,7802567,,,,,,
18-05-2000,318,319.75,307.1,310.1,5382755,,,,,,
19-05-2000,308,319.05,307.25,315.6,7967132,,,,,,
22-05-2000,313,316.9,309,312.45,3117749,,,,,,
23-05-2000,312.3,316,308.5,314.75,4169391,,,,,,
24-05-2000,313.65,317.9,310,312.75,4041968,,,,,,
25-05-2000,312.3,317.8,311.1,312.8,2617268,,,,,,
26-05-2000,314.8,318,311,316.45,3504803,,,,,,
29-05-2000,318.5,347.45,318,339.45,11805354,,,,,,
30-05-2000,340.75,345.85,337.1,343.8,5690548,,,,,,
31-05-2000,351,356.8,342.1,343.9,8452065,,,,,,
01-06-2000,342.1,345.9,336.15,339.2,5381385,,,,,,
02-06-2000,343,346,334.1,337.45,5846405,,,,,,
05-06-2000,337.7,351.85,336.4,339.2,10843536,,,,,,
06-06-2000,338,342.85,336.1,338.8,3919322,,,,,,
07-06-2000,339.9,344.4,336.25,337.95,3752088,,,,,,
08-06-2000,339.9,345,338.25,340.85,4600458,,,,,,
09-06-2000,341.9,352.7,339.05,341.2,12293372,,,,,,
12-06-2000,342.4,345.7,338.55,339.4,4122051,,,,,,
13-06-2000,339,346.45,337.05,338.5,6836937,,,,,,
14-06-2000,346.5,346.5,336.1,337.35,4483842,,,,,,
15-06-2000,341,341,327.5,331.45,6077043,,,,,,
16-06-2000,329.55,335.85,329,332.25,4558790,,,,,,
19-06-2000,333.75,336,330.2,331.35,3102806,,,,,,
20-06-2000,333.5,334,328.55,330.3,4148234,,,,,,
21-06-2000,334,334,328.25,329.15,2071279,,,,,,
22-06-2000,330.35,349.8,323.25,345,19142742,,,,,,
23-06-2000,346.1,354.65,335,337.75,15997583,,,,,,
26-06-2000,335,335.6,328.25,331.15,3465048,,,,,,
27-06-2000,331.35,339.9,330.1,334.5,7636206,,,,,,
28-06-2000,335,336.95,332.5,333.75,1744726,,,,,,
29-06-2000,335.35,345.7,334.9,342.25,7618018,,,,,,
30-06-2000,344,344.7,336,340.8,6345573,,,,,,
03-07-2000,338,351.95,338,348.15,9853239,,,,,,
04-07-2000,348.6,349.6,344.05,345.4,5380769,,,,,,
05-07-2000,349,360.35,346.6,354.15,13560315,,,,,,
06-07-2000,351,364.9,350,362.35,14329060,,,,,,
07-07-2000,364.4,365.9,360,361.2,7969212,,,,,,
10-07-2000,363,371,358.65,368.5,9419083,,,,,,
11-07-2000,369.9,377.7,366.55,375.95,12140871,,,,,,
